mL NaOH,pH
0.02583108,3.808345549
0.07238436,4.010428175
0.135555531,4.21300157
0.229605666,4.416159621
0.375735671,4.619998212
0.606291388,4.824601628
0.970030643,5.030018953
1.537011712,5.236228793
2.398390402,5.443096835
3.65139776,5.650343375
5.358566813,5.857551992
7.486707633,6.064246447
9.86837582,6.270021207
12.24113285,6.474656211
14.35555469,6.678145992
16.06748294,6.88064112
17.3538578,7.082358371
18.27135258,7.283511466
18.90674575,7.484277671
19.34540903,7.684791133
19.6591258,7.885149385
19.90564593,8.085423969
20.13345862,8.285671071
20.38835058,8.485940998
20.72038218,8.686286475
21.19051471,8.886769579
21.87523781,9.087465926
22.86494879,9.288462341
24.2479957,9.489841697
26.0716665,9.691649671
28.28571286,9.893849641
30.70905759,10.09629393
33.07647726,10.29874875
35.15663195,10.50097559
36.84611279,10.70281606
38.17504089,10.90422332
39.25834181,11.10523648
40.25349902,11.30593468
41.35141184,11.50640143
42.80360751,11.70670716
44.99623292,11.90690473
48.62215644,12.10703132
55.14014039,12.30711196
68.33568683,12.50716316
102.2579885,12.70719559